Dependency Name,Repository,GitHub Star,GitHub Forks,GitHub Watchers,Abondoned,Code Coverage %,Linters,Dependenats,NPM Stars,Maintainers,Contributors,Dependencies,License,Total Issues,Open Issues,Security Advisories
gulp-eslint,https://github.com/adametry/gulp-eslint,562,119,12,FALSE,0.99,2,464,83,2,1,3,MIT,266,27,1
grunt-mocha-test,https://github.com/pghalliday/grunt-mocha-test,363,61,5,FALSE,1,0,68,19,1,0,2,MIT,143,8,0
babel-polyfill,https://github.com/babel/babel,37286,4434,866,FALSE,0.91,3,5574,57,4,0,3,MIT,11888,795,0
gulp-sourcemaps,https://github.com/gulp-sourcemaps/gulp-sourcemaps,1086,122,23,FALSE,0.98,2,1550,306,3,0,11,ISC,387,20,0
grunt-contrib-concat,https://github.com/gruntjs/grunt-contrib-concat,811,174,28,FALSE,,1,407,95,6,19,2,MIT,192,41,0
karma-jasmine,https://github.com/karma-runner/karma-jasmine,524,156,29,FALSE,,2,394,44,5,39,1,MIT,290,26,0
karma-mocha,https://github.com/karma-runner/karma-mocha,377,101,12,FALSE,,1,399,31,5,33,1,MIT,241,73,0
grunt-contrib-copy,https://github.com/gruntjs/grunt-contrib-copy,734,192,31,FALSE,,1,478,86,6,5,2,MIT,308,59,0
jsdom,https://github.com/jsdom/jsdom,16633,1451,271,FALSE,,2,3923,231,6,0,27,MIT,3268,400,0
gulp-plumber,https://github.com/floatdrop/gulp-plumber,809,29,9,FALSE,1,2,1042,209,1,0,4,MIT,64,17,0
optimist,https://github.com/substack/node-optimist,2609,178,64,FALSE,,0,4137,143,3,0,2,MIT,154,18,1
tap,https://github.com/tapjs/node-tap,1902,264,23,FALSE,0.97,0,226,71,1,0,27,ISC,790,91,0
babelify,https://github.com/babel/babelify,1662,120,34,FALSE,,0,1123,77,3,0,0,MIT,298,10,0
babel-plugin-transform-runtime,https://github.com/babel/babel,38362,4671,859,FALSE,0.92,2,2397,32,4,0,1,MIT,12558,761,0
semver,https://github.com/npm/node-semver,3908,389,90,FALSE,1,0,15822,174,7,0,1,ISC,390,73,0
typescript,https://github.com/Microsoft/TypeScript,76373,76373,10001,FALSE,,0,20563,272,9,0,0,Apache-2.0,,5416,0
chai-as-promised,https://github.com/domenic/chai-as-promised,1375,110,12,FALSE,,2,569,61,1,0,1,WTFPL,270,31,0
run-sequence,https://github.com/OverZealous/run-sequence,979,59,15,FALSE,,1,984,199,1,0,3,MIT,107,0,0
shelljs,https://github.com/shelljs/shelljs,12675,687,178,FALSE,0.96,2,11465,434,3,2,3,BSD-3-Clause,1043,93,0
ember-cli,https://github.com/ember-cli/ember-cli,3317,1151,170,FALSE,0.92,3,64,50,10,0,91,MIT,9697,279,3
karma-coverage,https://github.com/karma-runner/karma-coverage,771,249,26,FALSE,,1,327,28,4,64,6,MIT,459,110,0
gulp-istanbul,https://github.com/SBoudrias/gulp-istanbul,188,89,5,FALSE,,2,76,23,1,0,6,MIT,145,20,0
node-uuid,https://github.com/broofa/node-uuid,270,32,9,FALSE,,0,3239,196,2,2,0,MIT,1,0,0
broccoli-asset-rev,https://github.com/rickharrison/broccoli-asset-rev,86,85,8,FALSE,,0,19,1,5,0,6,MIT,146,34,0
ember-cli-inject-live-reload,https://github.com/rwjblue/ember-cli-inject-live-reload,0,0,0,FALSE,,1,14,0,3,0,2,MIT,0,0,0
jade,https://github.com/jadejs/jade,20355,1955,553,FALSE,,0,2867,297,1,0,10,MIT,3333,257,6
ember-cli-htmlbars,https://github.com/ember-cli/ember-cli-htmlbars,67,55,17,FALSE,,4,2964,1,7,0,15,MIT,740,30,0
ember-export-application-global,https://github.com/ember-cli/ember-export-application-global,15,16,8,FALSE,,1,13,0,2,0,0,MIT,179,8,0
